SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED,,Start,End
844,Harlem,SB,Bryn Mawr,Foster,0.5,N,,-87.80712318,41.98277846,-87.80720208,41.97546814,-1,10/15/16 11:50 PM,,"-87.8071231837, 41.9827784576","41.9827784576, -87.8072020843"
853,Higgins,SE,Austin,Central,0.58,W,,-87.77823739,41.97305388,-87.76756335,41.97019653,-1,10/15/16 11:50 PM,,"-87.7782373882, 41.9730538829","41.9730538829, -87.7675633518"
859,Higgins,NW,Central,Austin,0.58,W,,-87.76756092,41.97047094,-87.77823501,41.97332829,-1,10/15/16 11:50 PM,,"-87.7675609235, 41.9704709429","41.9704709429, -87.7782350055"
883,LaSalle,WB,Stockton,Clark,0.08,W,,-87.6319114,41.91338323,-87.632854,41.913172,-1,10/15/16 11:50 PM,,"-87.6319113969, 41.9133832339","41.9133832339, -87.632854"
837,Harlem,SB,Armitage,North Ave,0.51,N,,-87.80617521,41.91617063,-87.80593645,41.90883922,-1,10/15/16 11:50 PM,,"-87.8061752063, 41.9161706271","41.9161706271, -87.805936449"
852,Higgins,SE,Nagle,Austin,0.53,W,,-87.78785901,41.97612103,-87.77823739,41.97305388,-1,10/15/16 11:50 PM,,"-87.787859013, 41.9761210286","41.9761210286, -87.7782373882"
955,Ohio,EB,LaSalle,State,0.23,W,Oneway,-87.63257264,41.89241451,-87.62807094,41.892447,-1,10/15/16 11:50 PM,,"-87.6325726363, 41.8924145112","41.8924145112, -87.6280709409"
940,Milwaukee,SE,Addison,Belmont,0.78,N,,-87.73581073,41.94624508,-87.72413409,41.93914251,-1,10/15/16 11:50 PM,,"-87.7358107254, 41.9462450778","41.9462450778, -87.7241340948"
810,Stony Island,SB,83rd,87th,0.5,S,,-87.58577409,41.7442186,-87.58560491,41.73691584,32,10/15/16 11:50 PM,,"-87.585774091, 41.7442186009","41.7442186009, -87.5856049147"
848,Harlem,SB,Touhy,Pratt,0.5,N,,-87.80680986,42.01171527,-87.80688836,42.00446642,-1,10/15/16 11:50 PM,,"-87.8068098621, 42.0117152702","42.0117152702, -87.8068883617"
