SEGMENTID,STREET,DIRECTION,FROM_STREET,TO_STREET,LENGTH, STREET_HEADING, COMMENTS,START_LONGITUDE, START_LATITUDE,END_LONGITUDE, END_LATITUDE, CURRENT_SPEED, LAST_UPDATED
69,Pulaski,SB,63rd,67th,0.5,S,,-87.72301001,41.77866116,-87.72282592,41.77137688,26,12/21/16 10:50 PM
70,Pulaski,SB,59th,63rd,0.5,S,,-87.72321144,41.7859395,-87.72301001,41.77866116,25,12/21/16 10:50 PM
71,Pulaski,SB,55th,59th,0.5,S,,-87.72340899,41.79320731,-87.72321144,41.7859395,-1,12/21/16 10:50 PM
72,Pulaski,SB,Archer,55th,0.62,S,,-87.72367443,41.80232036,-87.72340899,41.79320731,-1,12/21/16 10:50 PM
73,Pulaski,SB,47th,Archer,0.38,S,,-87.72383678,41.80788654,-87.72367443,41.80232036,-1,12/21/16 10:50 PM
74,Pulaski,SB,43rd,47th,0.5,S,,-87.72411212,41.81519841,-87.72383678,41.80788654,22,12/21/16 10:50 PM
75,Pulaski,SB,I-55 Expy,43rd,0.53,S,,-87.72430071,41.82299367,-87.72411212,41.81519841,23,12/21/16 10:50 PM
76,Pulaski,SB,31st,I-55 Expy,0.95,S,,-87.72460098,41.83688518,-87.72430071,41.82299367,25,12/21/16 10:50 PM
77,Pulaski,SB,26th,31st,0.5,S,,-87.72480373,41.84425808,-87.72460098,41.83688518,23,12/21/16 10:50 PM
78,Pulaski,SB,Cermak,26th,0.5,S,,-87.72500916,41.85154948,-87.72480373,41.84425808,25,12/21/16 10:50 PM
79,Pulaski,SB,16th,Cermak,0.5,S,,-87.72520564,41.85887124,-87.72500916,41.85154948,20,12/21/16 10:50 PM
80,Pulaski,SB,Roosevelt,16th,0.5,S,,-87.72542116,41.86617504,-87.72520564,41.85887124,20,12/21/16 10:50 PM
81,Pulaski,SB,Van Buren,Roosevelt,0.62,S,,-87.7257294,41.87527927,-87.72542116,41.86617504,29,12/21/16 10:50 PM
82,Pulaski,SB,Washington,Van Buren,0.46,N,,-87.72595761,41.88194035,-87.7257294,41.87527927,27,12/21/16 10:50 PM
83,Pulaski,SB,Lake,Washington,0.24,N,,-87.72605567,41.88546974,-87.72595761,41.88194035,14,12/21/16 10:50 PM
84,Pulaski,SB,Chicago,Lake,0.68,N,,-87.72633141,41.89537056,-87.72605567,41.88546974,33,12/21/16 10:50 PM
85,Pulaski,SB,Division,Chicago,0.5,N,,-87.72655392,41.90267437,-87.72633141,41.89537056,29,12/21/16 10:50 PM
86,Pulaski,SB,Grand,Division,0.24,N,,-87.72665871,41.90615894,-87.72655392,41.90267437,32,12/21/16 10:50 PM
87,Pulaski,SB,North Ave,Grand,0.5,N,,-87.72658175,41.9098896,-87.72665871,41.90615894,31,12/21/16 10:50 PM
88,Pulaski,SB,Armitage,North Ave,0.5,N,,-87.72681006,41.91716907,-87.72658175,41.9098896,19,12/21/16 10:50 PM
89,Pulaski,SB,Fullerton,Armitage,0.5,N,,-87.72701975,41.92448687,-87.72681006,41.91716907,23,12/21/16 10:50 PM
90,Pulaski,SB,Diversey,Fullerton,0.5,N,,-87.72722994,41.93179327,-87.72701975,41.92448687,-1,12/21/16 10:50 PM
91,Pulaski,SB,Milwaukee,Diversey,0.65,N,,-87.72749797,41.94117072,-87.72722994,41.93179327,-1,12/21/16 10:50 PM
92,Pulaski,SB,Irving Park,Milwaukee,0.85,N,,-87.72786858,41.9536507,-87.72749797,41.94117072,14,12/21/16 10:50 PM
93,Pulaski,SB,Elston,Irving Park,0.4,N,,-87.72804055,41.95961671,-87.72786858,41.9536507,21,12/21/16 10:50 PM
94,Pulaski,SB,Lawrence,Elston,0.6,N,,-87.72827911,41.96824521,-87.72804055,41.95961671,27,12/21/16 10:50 PM
95,Pulaski,SB,Foster,Lawrence,0.5,N,,-87.728485,41.97553491,-87.72827911,41.96824521,20,12/21/16 10:50 PM
96,Pulaski,SB,Bryn Mawr,Foster,0.5,N,,-87.72868425,41.98283444,-87.728485,41.97553491,33,12/21/16 10:50 PM
97,Pulaski,SB,Peterson,Bryn Mawr,0.5,N,,-87.72889198,41.99013834,-87.72868425,41.98283444,26,12/21/16 10:50 PM
98,Ashland,NB,95th,91st,0.5,S,,-87.66250027,41.72121411,-87.66266842,41.7284811,33,12/21/16 10:50 PM
99,Ashland,NB,91st,87th,0.5,S,,-87.66266842,41.7284811,-87.66288195,41.73578872,27,12/21/16 10:50 PM
100,Ashland,NB,87th,83rd,0.5,S,,-87.66288195,41.73578872,-87.66306836,41.74307569,26,12/21/16 10:50 PM
101,Ashland,NB,83rd,79th,0.5,S,,-87.66306836,41.74307569,-87.66325414,41.75035601,29,12/21/16 10:50 PM
